,Movie,Production Budget,Domestic Gross,Worldwide Gross
3403,RESERVOIR DOGS (1992),1200000.0,2832029.0,2990680.0
3404,RESIDENT EVIL (2002),35000000.0,40119709.0,103787401.0
3405,RESIDENT EVIL AFTERLIFE (2010),57500000.0,60128566.0,295874190.0
3406,RESIDENT EVIL APOCALYPSE (2004),50000000.0,50740078.0,125168734.0
3407,RESIDENT EVIL EXTINCTION (2007),45000000.0,50648679.0,149871103.0
3408,RESIDENT EVIL RETRIBUTION (2012),65000000.0,42345531.0,240647629.0
3409,RESIDENT EVIL THE FINAL CHAPTER (2016),40000000.0,26844692.0,314101190.0
3410,RESIDENT EVIL WELCOME TO RACCOON CITY (2021),25000000.0,16937037.0,41845516.0
3411,RESTLESS (2011),8000000.0,163753.0,2772511.0
3412,RESTORATION (1995),18000000.0,4100000.0,4100000.0
3413,RESURRECTING THE CHAMP (2007),13000000.0,3172382.0,3260555.0
3414,RETFI RDIGHEDENS RYTTERE (2021),6400000.0,77115.0,1280591.0
3415,RETURN OF THE LIVING DEAD 3 (1993),2000000.0,21000.0,21000.0
3416,RETURN OF THE LIVING DEAD PART II (1988),6200000.0,9205924.0,9205924.0
3417,RETURN TO ME (2000),24000000.0,32662299.0,32662299.0
3418,RETURN TO OZ (1985),27000000.0,10618813.0,10618813.0
3419,RETURN TO THE BLUE LAGOON (1991),11000000.0,2000000.0,2000000.0
3420,RETURN TO THE LAND OF WONDERS (2005),5000.0,1338.0,1338.0
3421,REVENGE OF THE GREEN DRAGONS (2014),5000000.0,2500.0,213164.0
3422,REVOLUTION 9 (2002),350000.0,9118.0,9118.0
3423,REVOLUTIONARY ROAD (2008),45000000.0,22951340.0,79604820.0
3424,RICHARD III (1995),9200000.0,2684904.0,4199334.0
3425,RICHARD JEWELL (2019),45000000.0,22345542.0,43092210.0
3426,RICHIE RICH (1994),40000000.0,38087756.0,38087756.0
3427,RICKI AND THE FLASH (2015),18000000.0,26839498.0,41166033.0
3428,RIDDICK (2013),38000000.0,42025135.0,94763758.0
3429,RIDE ALONG (2014),25000000.0,134202565.0,153733800.0
3430,RIDE ALONG 2 (2016),40000000.0,90862685.0,124827316.0
3431,RIDE WITH THE DEVIL (1999),35000000.0,630779.0,630779.0
3432,RIDING GIANTS (2004),2600000.0,2276368.0,3292333.0
3433,RIDING IN CARS WITH BOYS (2001),47000000.0,29781453.0,29781453.0
3434,RIEN NE VA PLUS (1997),10000000.0,245359.0,5045359.0
3435,RIGHTEOUS KILL (2008),60000000.0,40081410.0,78481410.0
3436,RINGS (2017),25000000.0,27793018.0,82917283.0
3437,RIO (2011),90000000.0,143619809.0,487519809.0
3438,RIO 2 (2014),130000000.0,131538435.0,492846291.0
3439,RISE OF THE GUARDIANS (2012),145000000.0,103412758.0,306900902.0
3440,RISE OF THE PLANET OF THE APES (2011),93000000.0,176760185.0,470986200.0
3441,RISEN (2016),20000000.0,36880033.0,46244066.0
3442,RIVER'S EDGE (1987),1900000.0,4600000.0,4600000.0
3443,RIZE (2005),700000.0,3278611.0,4857731.0
3444,ROAD HARD (2015),1500000.0,113169.0,113169.0
3445,ROAD HOUSE (1989),10000000.0,30050028.0,30050028.0
3446,ROAD TO PERDITION (2002),80000000.0,104054514.0,183354514.0
3447,ROAD TRIP (2000),16000000.0,68525609.0,119739110.0
3448,ROADSIDE ROMEO (2008),2000000.0,55202.0,2046090.0
3449,ROAR (1981),17000000.0,2110050.0,2110050.0
3450,ROB ROY (1995),28000000.0,31390587.0,31390587.0
3451,ROBIN AND MARIAN (1976),5000000.0,8000000.0,8000000.0
3452,ROBIN HOOD (2010),210000000.0,105487148.0,322459006.0
3453,ROBIN HOOD (2018),99000000.0,30824628.0,85210012.0
3454,ROBIN HOOD PRINCE OF THIEVES (1991),50000000.0,165493908.0,390500000.0
3455,ROBINSON CRUSOE (2016),13000000.0,8005586.0,42446455.0
3456,ROBOCOP (2014),120000000.0,58607007.0,242981799.0
3457,ROBOCOP (1987),13000000.0,53424681.0,54125172.0
3458,ROBOCOP 3 (1993),22000000.0,10696210.0,10696210.0
3459,ROBOT AND FRANK (2012),2500000.0,3317468.0,4934356.0
3460,ROBOTS (2005),80000000.0,128200012.0,260636271.0
3461,ROCK DOG (2016),60000000.0,9420546.0,24148488.0
3462,ROCK OF AGES (2012),70000000.0,38518613.0,61031932.0
3463,ROCK STAR (2001),38000000.0,16991902.0,19317765.0
