,Movie,Production Budget,Domestic Gross,Worldwide Gross,Genre,Movie Rating,User Rating,Meta Score,Duration in mins,Director,Lead,Year,User Rating Good/Bad,Meta Score Good/Bad,Director Count 0/1,Director Count
2571,LOVESICK (1983),10100000.0,10143618.0,10143618.0,,,,,,,,,,,,
2572,LOVING (2016),9000000.0,7710234.0,12898064.0,,,,,,,,,,,,
2573,LOVING VINCENT (2017),5500000.0,6735118.0,44071758.0,Animation,PG-13,7.8,62.0,94.0,"['Dorota Kobiela', 'Hugh Welchman']",Douglas Booth,2017,1.0,1.0,0.0,2.0
2574,LOWRIDERS (2017),916000.0,6179955.0,6188421.0,,,,,,,,,,,,
2575,LUCKY BREAK (2001),6000000.0,54606.0,4316497.0,,,,,,,,,,,,
2576,LUCKY NUMBER SLEVIN (2006),27000000.0,22495466.0,55495466.0,Horror,R,7.7,53.0,110.0,['Paul McGuigan'],Josh Hartnett,2006,1.0,1.0,1.0,1.0
2577,LUCKY NUMBERS (2000),65000000.0,10014234.0,10014234.0,Comedy-Drama,R,5.1,31.0,105.0,['Nora Ephron'],John Travolta,2000,0.0,1.0,1.0,1.0
2578,LUCKY YOU (2007),55000000.0,5755286.0,6521829.0,,,,,,,,,,,,
2579,LUCY (2014),40000000.0,126573960.0,457507776.0,,,,,,,,,,,,
2580,LUCY IN THE SKY (2019),27000000.0,319976.0,325943.0,,,,,,,,,,,,
2581,LUMINARIAS (2000),1000000.0,428535.0,428535.0,,,,,,,,,,,,
2582,LUTHER (2003),35000000.0,5781086.0,32717063.0,,,,,,,,,,,,
2583,LYLE LYLE CROCODILE (2022),50000000.0,37306186.0,64202389.0,,,,,,,,,,,,
2584,M A S H (1970),3500000.0,81600000.0,81600000.0,,,,,,,,,,,,
2585,MA (2019),5000000.0,45896028.0,61220784.0,,,,,,,,,,,,
2586,MA VIE DE COURGETTE (2016),8000000.0,309768.0,10245743.0,,,,,,,,,,,,
5942,MAC AND ME (1988),,,,Comedy,PG,3.3,26.0,99.0,['Stewart Raffill'],Christine Ebersole,1988,0.0,1.0,1.0,1.0
2587,MACGRUBER (2010),10000000.0,8525600.0,8629895.0,,,,,,,,,,,,
2588,MACHETE (2010),12500000.0,26593646.0,46370970.0,,,,,,,,,,,,
2589,MACHETE KILLS (2013),20000000.0,8008161.0,18273009.0,,,,,,,,,,,,
2590,MACHINE GUN PREACHER (2011),30000000.0,538690.0,3721988.0,,,,,,,,,,,,
2591,MAD CITY (1997),50000000.0,10561038.0,10561038.0,,,,,,,,,,,,
2592,MAD HOT BALLROOM (2005),500000.0,8117961.0,9387581.0,,,,,,,,,,,,
2593,MAD MAX (1979),200000.0,8750000.0,99750000.0,,,,,,,,,,,,
2594,MAD MAX 2 THE ROAD WARRIOR (1981),2000000.0,24600832.0,24601332.0,,,,,,,,,,,,
2595,MAD MAX BEYOND THUNDERDOME (1985),10000000.0,36230219.0,36230219.0,,,,,,,,,,,,
2596,MAD MAX FURY ROAD (2015),150000000.0,153636354.0,367457874.0,Action/Adventure,R,8.1,90.0,120.0,['George Miller'],Tom Hardy,2015,1.0,1.0,1.0,1.0
2597,MAD MONEY (2008),22000000.0,20668843.0,25044057.0,,,,,,,,,,,,
2598,MADADAYO (1997),11900000.0,48856.0,49452.0,,,,,,,,,,,,
2599,MADAGASCAR (2005),75000000.0,193595521.0,556559566.0,,,,,,,,,,,,
2600,MADAGASCAR 3 EUROPE'S MOST WANTED (2012),145000000.0,216391482.0,746921271.0,,,,,,,,,,,,
2601,MADAGASCAR ESCAPE 2 AFRICA (2008),150000000.0,180174880.0,599680774.0,,,,,,,,,,,,
2602,MADE (2001),5000000.0,5308707.0,5476060.0,,,,,,,,,,,,
5943,MADE IN AMERICA (1993),,,,Comedy,PG-13,5.1,49.0,111.0,['Richard Benjamin'],Whoopi Goldberg,1993,0.0,1.0,1.0,1.0
2603,MADE IN DAGENHAM (2010),8000000.0,1095369.0,15644196.0,,,,,,,,,,,,
2604,MADE OF HONOR (2008),40000000.0,46012734.0,106548738.0,,,,,,,,,,,,
2605,MADEA GOES TO JAIL (2009),17500000.0,90508336.0,90508336.0,Comedy-Drama,PG-13,4.5,50.0,103.0,['Tyler Perry'],Tyler Perry,2009,0.0,1.0,1.0,1.0
2606,MADEA'S BIG HAPPY FAMILY (2011),25000000.0,53345287.0,54160818.0,,,,,,,,,,,,
2607,MADEA'S FAMILY REUNION (2006),10000000.0,63257940.0,63320521.0,,,,,,,,,,,,
5944,MADEA'S WITNESS PROTECTION (2012),,,,Comedy-Drama,PG-13,4.9,42.0,114.0,['Tyler Perry'],Tyler Perry,2012,0.0,1.0,1.0,1.0
2608,MADELINE'S MADELINE (2018),500000.0,185576.0,197340.0,,,,,,,,,,,,
2609,MADISON (2005),15500000.0,517262.0,517262.0,,,,,,,,,,,,
2610,MAGGIE (2015),4500000.0,187112.0,1027760.0,,,,,,,,,,,,
2611,MAGIC MIKE (2012),7000000.0,113721571.0,170549753.0,,,,,,,,,,,,
2612,MAGIC MIKE XXL (2015),14500000.0,66013057.0,123580421.0,,,,,,,,,,,,
2613,MAGNOLIA (1999),37000000.0,22450975.0,48446802.0,Drama,R,8.0,77.0,188.0,['Paul Thomas Anderson'],Tom Cruise,1999,1.0,1.0,1.0,1.0
2614,MAID IN MANHATTAN (2002),55000000.0,93932896.0,163838217.0,Romance,PG-13,5.3,45.0,105.0,['Wayne Wang'],Jennifer Lopez,2002,0.0,1.0,1.0,1.0
2615,MAJOR DUNDEE (1965),3800000.0,14873.0,14873.0,,,,,,,,,,,,
2616,MAJOR LEAGUE (1989),11000000.0,49793054.0,49793054.0,,,,,,,,,,,,
2617,MALCOLM X (1992),35000000.0,48169910.0,48169910.0,Biography,PG-13,7.7,73.0,202.0,['Spike Lee'],Denzel Washington,1992,1.0,1.0,1.0,1.0
2618,MALEFICENT (2014),180000000.0,241407328.0,758536735.0,,,,,,,,,,,,
2619,MALEFICENT MISTRESS OF EVIL (2019),185000000.0,113929605.0,489181357.0,,,,,,,,,,,,
2620,MALEVOLENCE (2004),200000.0,126021.0,346106.0,,,,,,,,,,,,
2621,MALIBU'S MOST WANTED (2003),15000000.0,34308901.0,34499204.0,Comedy-Drama,PG-13,5.2,43.0,86.0,['John Whitesell'],Jamie Kennedy,2003,0.0,1.0,1.0,1.0
2622,MALIGNANT (2021),40000000.0,13391791.0,33974421.0,,,,,,,,,,,,
2623,MALLRATS (1995),6100000.0,2108367.0,2108367.0,,,,,,,,,,,,
2624,MALONE (1987),10000000.0,3000000.0,3000000.0,,,,,,,,,,,,
2625,MAMA (2013),15000000.0,71628180.0,148095566.0,,,,,,,,,,,,
2626,MAMBO ITALIANO (2003),5500000.0,9282750.0,12399772.0,,,,,,,,,,,,
2627,MAMMA MIA (2008),52000000.0,144130063.0,598421187.0,,,,,,,,,,,,
2628,MAMMA MIA HERE WE GO AGAIN (2018),75000000.0,120634935.0,399165687.0,,,,,,,,,,,,
2629,MAN CHENG JIN DAI HUANG JIN JIA (2006),45000000.0,6566773.0,76904429.0,,,,,,,,,,,,
2630,MAN OF STEEL (2013),225000000.0,291045518.0,667999518.0,,,,,,,,,,,,
2631,MAN OF THE HOUSE (2005),50000000.0,19699706.0,22099706.0,,,,,,,,,,,,
2632,MAN OF THE YEAR (2006),20000000.0,37442180.0,41342180.0,,,,,,,,,,,,
2633,MAN ON A LEDGE (2012),42000000.0,18620000.0,49621440.0,,,,,,,,,,,,
2634,MAN ON FIRE (2004),60000000.0,77906816.0,130968579.0,Drama,R,7.7,47.0,146.0,['Tony Scott'],Denzel Washington,2004,1.0,1.0,1.0,1.0
2635,MAN ON THE MOON (1999),52000000.0,34580635.0,47407635.0,,,,,,,,,,,,
2636,MAN ON WIRE (2008),1900000.0,2962242.0,5617067.0,,,,,,,,,,,,
2637,MAN SOM HATAR KVINNOR (2009),13000000.0,12749992.0,109421911.0,,,,,,,,,,,,
2638,MANCHESTER BY THE SEA (2016),8500000.0,47695371.0,77733867.0,Drama,R,7.8,96.0,137.0,['Kenneth Lonergan'],Casey Affleck,2016,1.0,1.0,1.0,1.0
2639,MANDELA LONG WALK TO FREEDOM (2013),35000000.0,8323085.0,29890402.0,,,,,,,,,,,,
2640,MANDERLAY (2006),14200000.0,74205.0,543306.0,,,,,,,,,,,,
2641,MANDY (2018),6000000.0,1233694.0,1472996.0,,,,,,,,,,,,
2642,MANGLEHORN (2015),4000000.0,132270.0,797439.0,,,,,,,,,,,,
5945,MANHATTAN (1979),,,,Romance,R,7.9,83.0,96.0,['Woody Allen'],Woody Allen,1979,1.0,1.0,1.0,1.0
2643,MANIAC (1980),350000.0,10000000.0,10000000.0,,,,,,,,,,,,
2644,MAO'S LAST DANCER (2010),18000000.0,4806750.0,25941437.0,,,,,,,,,,,,
2645,MAR ADENTRO (2004),13300000.0,2086345.0,39686345.0,,,,,,,,,,,,
2646,MARCH OR DIE (1977),7000000.0,1000000.0,1000000.0,,,,,,,,,,,,
2647,MARCI X (2003),20000000.0,1646664.0,1646664.0,,,,,,,,,,,,
2648,MARGARET (2011),14000000.0,47185.0,623292.0,,,,,,,,,,,,
2649,MARGIN CALL (2011),3400000.0,5353586.0,20433227.0,,,,,,,,,,,,
2650,MARIA FULL OF GRACE (2004),3200000.0,6529624.0,14441158.0,,,,,,,,,,,,
2651,MARIE ANTOINETTE (2006),40000000.0,15962471.0,60862471.0,,,,,,,,,,,,
2652,MARILYN HOTCHKISS' BALLROOM DANCING AND CHARM SCHOOL (2006),2500000.0,349132.0,497195.0,,,,,,,,,,,,
2653,MARLEY AND ME (2008),60000000.0,143153751.0,247812011.0,,,,,,,,,,,,
2654,MARMADUKE (2010),50000000.0,33644788.0,89895930.0,Comedy,PG,4.3,30.0,87.0,['Tom Dey'],Owen Wilson,2010,0.0,1.0,1.0,1.0
5946,MARRIAGE STORY (2019),,,,Romance,R,7.9,94.0,137.0,['Noah Baumbach'],Adam Driver,2019,1.0,1.0,1.0,1.0
2655,MARRIED LIFE (2008),12000000.0,1506998.0,2975188.0,,,,,,,,,,,,
2656,MARS ATTACKS (1996),80000000.0,37771017.0,101371017.0,,,,,,,,,,,,
2657,MARS NEEDS MOMS (2011),150000000.0,21392758.0,39549758.0,Animation,PG,5.4,49.0,88.0,['Simon Wells'],Seth Green,2011,0.0,1.0,1.0,1.0
2658,MARSHALL (2017),12000000.0,10051659.0,10116816.0,,,,,,,,,,,,
2659,MARTHA MARCY MAY MARLENE (2011),1000000.0,2981038.0,5438911.0,,,,,,,,,,,,
2660,MARTIAN CHILD (2007),27000000.0,7500310.0,9352089.0,,,,,,,,,,,,
2661,MARTIN LAWRENCE LIVE RUNTELDAT (2002),3000000.0,19184820.0,19184820.0,,,,,,,,,,,,
2662,MARVIN'S ROOM (1996),23000000.0,12803305.0,12803305.0,,,,,,,,,,,,
2663,MARY POPPINS (1964),6000000.0,102272145.0,102296470.0,Comedy,G,7.8,88.0,139.0,['Robert Stevenson'],Julie Andrews,1964,1.0,1.0,1.0,1.0
2664,MARY POPPINS RETURNS (2018),130000000.0,171958438.0,348901032.0,,,,,,,,,,,,
2665,MARY QUEEN OF SCOTS (2018),25000000.0,16648499.0,48481754.0,,,,,,,,,,,,
2666,MARY REILLY (1996),47000000.0,5707094.0,12900000.0,,,,,,,,,,,,
2667,MASKED AND ANONYMOUS (2003),7500000.0,533344.0,555335.0,,,,,,,,,,,,
2668,MASTER AND COMMANDER THE FAR SIDE OF THE WORLD (2003),135000000.0,93926386.0,212912137.0,,,,,,,,,,,,
2669,MASTERMINDS (2016),25000000.0,17356894.0,30850666.0,,,,,,,,,,,,
5947,MASTERS OF THE UNIVERSE (1987),,,,Action/Adventure,PG,5.3,35.0,106.0,['Gary Goddard'],Dolph Lundgren,1987,0.0,1.0,1.0,1.0
2670,MATA HARI (1931),558000.0,900000.0,900000.0,,,,,,,,,,,,
2671,MATCH POINT (2005),15000000.0,23089926.0,87950928.0,Romance,R,7.6,72.0,124.0,['Woody Allen'],Scarlett Johansson,2005,1.0,1.0,1.0,1.0
5948,MATERIAL GIRLS (2006),,,,Romance,PG,3.9,17.0,98.0,['Martha Coolidge'],Hilary Duff,2006,0.0,1.0,1.0,1.0
2672,MAURICE (1987),2600000.0,3147950.0,3305831.0,,,,,,,,,,,,
2673,MAX (2015),20000000.0,42656255.0,43658157.0,,,,,,,,,,,,
2674,MAX KEEBLE'S BIG MOVE (2001),12000000.0,17292381.0,17292381.0,,,,,,,,,,,,
2675,MAX PAYNE (2008),35000000.0,40689393.0,87775050.0,Action/Adventure,PG-13,5.3,31.0,100.0,['John Moore'],Mark Wahlberg,2008,0.0,1.0,1.0,1.0
2676,MAX STEEL (2016),10000000.0,3818664.0,4563080.0,Action/Adventure,PG-13,4.6,22.0,92.0,['Stewart Hendler'],Ben Winchell,2016,0.0,1.0,1.0,1.0
5949,MAXIMUM OVERDRIVE (1986),,,,Horror,R,5.4,24.0,98.0,['Stephen King'],Emilio Estevez,1986,0.0,1.0,1.0,1.0
2677,MAXIMUM RISK (1996),25000000.0,14102929.0,51702929.0,,,,,,,,,,,,
2678,MAY (2003),1750000.0,145540.0,634803.0,,,,,,,,,,,,
2679,MAZE RUNNER THE DEATH CURE (2018),61000000.0,58032443.0,265878536.0,,,,,,,,,,,,
2680,MAZE RUNNER THE SCORCH TRIALS (2015),61000000.0,81697192.0,310566162.0,,,,,,,,,,,,
2681,MCFARLAND USA (2015),17000000.0,44480275.0,45707924.0,,,,,,,,,,,,
2682,MCHALE'S NAVY (1997),42000000.0,4408420.0,4408420.0,,,,,,,,,,,,
2683,ME AND EARL AND THE DYING GIRL (2015),8000000.0,6758416.0,9266180.0,Romance,PG-13,7.7,74.0,105.0,['Alfonso Gomez-Rejon'],Thomas Mann,2015,1.0,1.0,1.0,1.0
2684,ME AND ORSON WELLES (2009),25000000.0,1190003.0,1190003.0,,,,,,,,,,,,
2685,ME AND YOU AND EVERYONE WE KNOW (2005),2000000.0,3885134.0,9615464.0,,,,,,,,,,,,
2686,ME BEFORE YOU (2016),20000000.0,56245075.0,208064908.0,,,,,,,,,,,,
2687,ME MYSELF AND IRENE (2000),51000000.0,90570999.0,149270999.0,,,,,,,,,,,,
5950,ME TIME (2022),,,,Comedy,R,5.0,25.0,101.0,['John Hamburg'],Kevin Hart,2022,0.0,1.0,1.0,1.0
2688,ME YOU AND FIVE BUCKS (2015),1500000.0,2105.0,2105.0,,,,,,,,,,,,
2689,MEAN CREEK (2004),500000.0,603951.0,1348750.0,,,,,,,,,,,,
2690,MEAN GIRLS (2004),18000000.0,86047227.0,130714469.0,,,,,,,,,,,,
2691,MEAN MACHINE (2002),4500000.0,92723.0,92723.0,,,,,,,,,,,,
2692,MECHANIC RESURRECTION (2016),40000000.0,21218403.0,125729635.0,,,,,,,,,,,,
2693,MEDICINE MAN (1992),40000000.0,44948240.0,44948240.0,,,,,,,,,,,,
2694,MEEK'S CUTOFF (2011),2000000.0,977772.0,1869928.0,,,,,,,,,,,,
2695,MEET DAVE (2008),60000000.0,11803254.0,50648806.0,Comedy,PG,5.1,43.0,90.0,['Brian Robbins'],Eddie Murphy,2008,0.0,1.0,1.0,1.0
2696,MEET JOE BLACK (1998),85000000.0,44650003.0,44650003.0,,,,,,,,,,,,
2697,MEET THE BLACKS (2016),900000.0,9097072.0,9097072.0,Comedy,R,4.8,26.0,94.0,['Deon Taylor'],Mike Epps,2016,0.0,1.0,1.0,1.0
2698,MEET THE BROWNS (2008),20000000.0,41975388.0,41975388.0,,,,,,,,,,,,
2699,MEET THE DEEDLES (1998),24000000.0,4356126.0,4356126.0,,,,,,,,,,,,
2700,MEET THE FOCKERS (2004),60000000.0,279167575.0,516567575.0,,,,,,,,,,,,
2701,MEET THE MORMONS (2014),2000000.0,6047363.0,6049171.0,,,,,,,,,,,,
2702,MEET THE PARENTS (2000),55000000.0,166225040.0,330425040.0,,,,,,,,,,,,
2703,MEET THE SPARTANS (2008),30000000.0,38233676.0,84646831.0,Comedy,PG-13,2.8,9.0,87.0,"['Jason Friedberg', 'Aaron Seltzer']",Sean Maguire,2008,0.0,1.0,0.0,2.0
2704,MEGAFORCE (1982),18000000.0,5675599.0,5675599.0,,,,,,,,,,,,
2705,MEGAMIND (2010),130000000.0,148415853.0,321887208.0,,,,,,,,,,,,
2706,MEGIDDO OMEGA CODE 2 (2001),22000000.0,6047691.0,6047691.0,,,,,,,,,,,,
2707,MEI REN YU (2016),60720000.0,3229457.0,525018479.0,,,,,,,,,,,,
2708,MELANCHOLIA (2011),9400000.0,3030848.0,21817298.0,,,,,,,,,,,,
5951,MEMENTO (2000),,,,Horror,R,8.4,80.0,113.0,['Christopher Nolan'],Guy Pearce,2000,1.0,1.0,1.0,1.0
2709,MEMENTO (2001),5000000.0,25544867.0,39719431.0,,,,,,,,,,,,
2710,MEMOIRS OF A GEISHA (2005),85000000.0,57010853.0,161510853.0,,,,,,,,,,,,
2711,MEMOIRS OF AN INVISIBLE MAN (1992),40000000.0,14358033.0,14358033.0,,,,,,,,,,,,
5952,MEMORIES OF MURDER (2003),,,,Drama,Not Rated,8.1,82.0,132.0,['Bong Joon Ho'],Song Kang-ho,2003,1.0,1.0,1.0,1.0
2712,MEN IN BLACK (1997),90000000.0,250690539.0,587790539.0,,,,,,,,,,,,
2713,MEN IN BLACK 2 (2002),140000000.0,190418803.0,441767803.0,,,,,,,,,,,,
2714,MEN IN BLACK 3 (2012),215000000.0,179020854.0,654213485.0,,,,,,,,,,,,
2715,MEN IN BLACK INTERNATIONAL (2019),110000000.0,80001807.0,253015298.0,,,,,,,,,,,,
2716,MEN OF HONOR (2000),32000000.0,48814909.0,82339483.0,,,,,,,,,,,,
2717,MEN WITH BROOMS (2002),7500000.0,4239767.0,4239767.0,,,,,,,,,,,,
2718,MEN WOMEN AND CHILDREN (2014),16000000.0,705908.0,1685403.0,,,,,,,,,,,,
2719,MENACE II SOCIETY (1993),3500000.0,27731527.0,27731527.0,,,,,,,,,,,,
2720,MERCURY RISING (1998),60000000.0,32983332.0,32983332.0,,,,,,,,,,,,
2721,MERCY STREETS (2000),600000.0,173599.0,173599.0,,,,,,,,,,,,
2722,MESSAGE IN A BOTTLE (1999),30000000.0,52880016.0,52880016.0,,,,,,,,,,,,
2723,METALLICA THROUGH THE NEVER (2013),18000000.0,3419967.0,9082906.0,,,,,,,,,,,,
2724,METEOR (1979),16000000.0,8400000.0,8400000.0,,,,,,,,,,,,
5953,METROPOLIS (1927),,,,Sci-fi/Fantasy,Not Rated,8.3,98.0,153.0,['Fritz Lang'],Brigitte Helm,1927,1.0,1.0,1.0,1.0
2725,METROPOLIS (2002),15000000.0,673414.0,1405032.0,,,,,,,,,,,,
2726,METROPOLITAN (1990),430000.0,2938000.0,2938000.0,,,,,,,,,,,,
2727,MI AMERICA (2016),2100000.0,3330.0,3330.0,,,,,,,,,,,,
2728,MIAMI VICE (2006),135000000.0,63478838.0,164920076.0,,,,,,,,,,,,
2729,MICHAEL CLAYTON (2007),21500000.0,49033882.0,92987651.0,,,,,,,,,,,,
2730,MICHAEL COLLINS (1996),25000000.0,11092559.0,27572844.0,,,,,,,,,,,,
2731,MICHAEL JACKSON'S THIS IS IT (2009),60000000.0,72091016.0,252091016.0,,,,,,,,,,,,
2732,MICHAEL JORDAN TO THE MAX (2000),7000000.0,18642318.0,19276267.0,,,,,,,,,,,,
2733,MICKEY BLUE EYES (1999),40000000.0,33864342.0,53864342.0,,,,,,,,,,,,
2734,MICMACS (2010),42000000.0,1259693.0,18821576.0,,,,,,,,,,,,
2735,MIDDLE MEN (2010),20000000.0,754301.0,754301.0,,,,,,,,,,,,
2736,MIDDLE OF NOWHERE (2012),200000.0,236806.0,236806.0,,,,,,,,,,,,
2737,MIDDLE SCHOOL THE WORST YEARS OF MY LIFE (2016),8500000.0,20007149.0,23311293.0,,,,,,,,,,,,
2738,MIDNIGHT COWBOY (1969),3600000.0,44785053.0,44796329.0,Drama,R,7.8,79.0,113.0,['John Schlesinger'],Dustin Hoffman,1969,1.0,1.0,1.0,1.0
2739,MIDNIGHT IN PARIS (2011),30000000.0,56816662.0,162275213.0,Romance,PG-13,7.7,81.0,94.0,['Woody Allen'],Owen Wilson,2011,1.0,1.0,1.0,1.0
2740,MIDNIGHT IN THE GARDEN OF GOOD AND EVIL (1997),35000000.0,25078937.0,25078937.0,,,,,,,,,,,,
2741,MIDNIGHT MEAT TRAIN (2008),15000000.0,73548.0,1590246.0,,,,,,,,,,,,
2742,MIDNIGHT RUN (1988),30000000.0,38413606.0,81613606.0,,,,,,,,,,,,
2743,MIDNIGHT SPECIAL (2016),18000000.0,3712282.0,7680250.0,,,,,,,,,,,,
2744,MIDNIGHT SUN (2018),2800000.0,9561064.0,26952508.0,,,,,,,,,,,,
2745,MIDSOMMAR (2019),9000000.0,27426363.0,46757893.0,,,,,,,,,,,,
2746,MIDWAY (2019),100000000.0,56846802.0,126815030.0,,,,,,,,,,,,
2747,MIGHTY JOE YOUNG (1998),80000000.0,50632037.0,50632037.0,,,,,,,,,,,,
5954,MIGHTY MORPHIN POWER RANGERS (1995),,,,Action/Adventure,PG,5.2,40.0,95.0,['Bryan Spicer'],Karan Ashley,1995,0.0,1.0,1.0,1.0
2748,MIKE AND DAVE NEED WEDDING DATES (2016),33000000.0,46009673.0,75898100.0,,,,,,,,,,,,
